"id","direction","ideaId","voterId","createdAt","updatedAt"
1134,-1,63,"0x31B6470f3FAE7e488DA60b5fB9713A9a41286250","2022-10-03 04:02:41.444","2022-10-03 04:02:41.444"
1135,1,83,"0xdAAD0f92010280dc2EDf7CFb8AB54214a800f7E2","2022-10-03 17:44:25.205","2022-10-03 17:44:25.205"
1136,1,82,"0x8C868aB6EA5aA8BF37F58376f0A61c3728aEf904","2022-10-03 17:44:29.372","2022-10-03 17:44:29.373"
1137,1,84,"0xdAAD0f92010280dc2EDf7CFb8AB54214a800f7E2","2022-10-03 17:50:43.06","2022-10-03 17:50:43.06"
1138,-1,79,"0x8BecD7EbF3F910090f9264DFD0Bb221Ea04af8c3","2022-10-03 18:17:56.017","2022-10-03 18:17:56.017"
1139,-1,78,"0x8BecD7EbF3F910090f9264DFD0Bb221Ea04af8c3","2022-10-03 18:17:58.607","2022-10-03 18:17:58.608"
1140,1,85,"0xdaE3B357B18854eBeeCfE94199ab4BA21DC1c3a1","2022-10-03 18:51:49.867","2022-10-03 18:51:49.868"
1141,1,27,"0xdaE3B357B18854eBeeCfE94199ab4BA21DC1c3a1","2022-10-04 17:01:43.103","2022-10-04 17:01:43.103"
1142,1,82,"0xdaE3B357B18854eBeeCfE94199ab4BA21DC1c3a1","2022-10-04 17:01:52.241","2022-10-04 17:01:52.241"
1143,1,27,"0x9429695E1AACe83232a140B38D7f265463f66F47","2022-10-05 08:24:38.576","2022-10-05 08:24:38.577"
1144,1,82,"0x9429695E1AACe83232a140B38D7f265463f66F47","2022-10-05 08:26:29.968","2022-10-05 08:26:29.969"
1145,1,73,"0x9429695E1AACe83232a140B38D7f265463f66F47","2022-10-05 08:26:50.79","2022-10-05 08:26:50.791"
1146,-1,27,"0x7Cfe310b31C71C45a8141326Cb73F7e248a42bd1","2022-10-05 13:27:18.757","2022-10-05 13:27:18.757"
1147,1,68,"0x7Cfe310b31C71C45a8141326Cb73F7e248a42bd1","2022-10-05 13:27:27.868","2022-10-05 13:27:27.869"
1148,1,19,"0x7Cfe310b31C71C45a8141326Cb73F7e248a42bd1","2022-10-05 13:27:32.141","2022-10-05 13:27:32.141"
1149,1,52,"0x7Cfe310b31C71C45a8141326Cb73F7e248a42bd1","2022-10-05 13:27:43.767","2022-10-05 13:27:43.768"
1150,1,21,"0x7Cfe310b31C71C45a8141326Cb73F7e248a42bd1","2022-10-05 13:27:58.844","2022-10-05 13:27:58.844"
1151,-1,40,"0x7Cfe310b31C71C45a8141326Cb73F7e248a42bd1","2022-10-05 13:28:29.951","2022-10-05 13:28:29.951"
1152,1,84,"0x2eE0485f71764bcD2062A84d9455688c581B90f8","2022-10-05 13:43:12.994","2022-10-05 13:43:12.995"
1153,1,83,"0x2eE0485f71764bcD2062A84d9455688c581B90f8","2022-10-05 13:44:34.685","2022-10-05 13:44:34.685"
1154,1,86,"0x2eE0485f71764bcD2062A84d9455688c581B90f8","2022-10-06 14:01:09.628","2022-10-06 14:01:09.629"
1155,-1,27,"0x87772fF7C65B5c93Be52e3504670c6407271F829","2022-10-06 19:00:21.968","2022-10-06 19:00:21.968"
1156,-1,82,"0x87772fF7C65B5c93Be52e3504670c6407271F829","2022-10-06 23:32:26.514","2022-10-06 23:32:26.514"
1157,-1,79,"0x87772fF7C65B5c93Be52e3504670c6407271F829","2022-10-06 23:32:34.713","2022-10-06 23:32:34.713"
1158,1,75,"0x87772fF7C65B5c93Be52e3504670c6407271F829","2022-10-06 23:33:02.927","2022-10-06 23:33:02.927"
1159,1,73,"0x87772fF7C65B5c93Be52e3504670c6407271F829","2022-10-06 23:33:24.602","2022-10-06 23:33:24.603"
1160,1,87,"0x35F1a5c533398644aD43eA90F98Ed1Bd456F5c89","2022-10-08 16:35:56.335","2022-10-08 16:35:56.336"
1161,-1,70,"0xA61CcF8F01aF0414Fb5c0Ced4060881e4916117C","2022-10-09 00:50:23.549","2022-10-09 00:50:23.55"
1162,1,68,"0xA61CcF8F01aF0414Fb5c0Ced4060881e4916117C","2022-10-09 00:50:25.271","2022-10-09 00:50:25.272"
1163,-1,82,"0xA61CcF8F01aF0414Fb5c0Ced4060881e4916117C","2022-10-09 00:51:38.699","2022-10-09 00:51:38.699"
1164,1,27,"0xA61CcF8F01aF0414Fb5c0Ced4060881e4916117C","2022-10-09 00:51:41.62","2022-10-09 00:51:41.62"
1165,1,14,"0xA61CcF8F01aF0414Fb5c0Ced4060881e4916117C","2022-10-09 00:51:55.726","2022-10-09 00:51:55.726"
1166,1,82,"0x31B6470f3FAE7e488DA60b5fB9713A9a41286250","2022-10-09 01:51:15.528","2022-10-09 01:51:15.529"
1167,1,70,"0x31B6470f3FAE7e488DA60b5fB9713A9a41286250","2022-10-09 01:51:23.389","2022-10-09 01:51:23.39"
1168,-1,68,"0x31B6470f3FAE7e488DA60b5fB9713A9a41286250","2022-10-09 01:51:43.823","2022-10-09 01:51:43.824"
1169,-1,73,"0x31B6470f3FAE7e488DA60b5fB9713A9a41286250","2022-10-09 01:51:59.176","2022-10-09 01:51:59.177"
1170,1,75,"0x31B6470f3FAE7e488DA60b5fB9713A9a41286250","2022-10-09 01:52:08.65","2022-10-09 01:52:08.65"
1171,-1,71,"0x31B6470f3FAE7e488DA60b5fB9713A9a41286250","2022-10-09 01:52:26.976","2022-10-09 01:52:26.977"
1172,-1,64,"0x31B6470f3FAE7e488DA60b5fB9713A9a41286250","2022-10-09 01:52:52.596","2022-10-09 01:52:52.597"
1173,-1,81,"0x31B6470f3FAE7e488DA60b5fB9713A9a41286250","2022-10-09 01:53:03.829","2022-10-09 01:53:03.83"
1174,-1,55,"0x31B6470f3FAE7e488DA60b5fB9713A9a41286250","2022-10-09 01:53:45.779","2022-10-09 01:53:45.779"
1175,-1,84,"0x31B6470f3FAE7e488DA60b5fB9713A9a41286250","2022-10-09 01:54:26.315","2022-10-09 01:54:26.316"
1176,-1,83,"0x31B6470f3FAE7e488DA60b5fB9713A9a41286250","2022-10-09 01:54:34.954","2022-10-09 01:54:34.954"
1177,1,70,"0x8D36BaC540C57dBd009eA9d9D8CDF9443A83E3f6","2022-10-09 03:23:06.682","2022-10-09 03:23:06.683"
1178,1,75,"0x8D36BaC540C57dBd009eA9d9D8CDF9443A83E3f6","2022-10-09 03:26:06.277","2022-10-09 03:26:06.277"
1179,1,25,"0x8D36BaC540C57dBd009eA9d9D8CDF9443A83E3f6","2022-10-09 03:26:18.166","2022-10-09 03:26:18.167"
1180,1,40,"0x8D36BaC540C57dBd009eA9d9D8CDF9443A83E3f6","2022-10-09 03:29:07.124","2022-10-09 03:29:07.125"
1181,1,52,"0x8D36BaC540C57dBd009eA9d9D8CDF9443A83E3f6","2022-10-09 03:29:21.166","2022-10-09 03:29:21.166"
1182,1,71,"0x8D36BaC540C57dBd009eA9d9D8CDF9443A83E3f6","2022-10-09 03:29:44.061","2022-10-09 03:29:44.062"
1183,1,80,"0x8D36BaC540C57dBd009eA9d9D8CDF9443A83E3f6","2022-10-09 03:29:47.666","2022-10-09 03:29:47.667"
1184,1,87,"0x8BecD7EbF3F910090f9264DFD0Bb221Ea04af8c3","2022-10-09 20:07:08.411","2022-10-09 20:07:08.412"
1185,1,87,"0x87772fF7C65B5c93Be52e3504670c6407271F829","2022-10-10 04:38:11.97","2022-10-10 04:38:11.97"
1186,1,87,"0x1e45c69c8bFdD393dF1577F08704698b469585Aa","2022-10-10 14:02:01.046","2022-10-10 14:02:01.047"
1187,-1,86,"0x1e45c69c8bFdD393dF1577F08704698b469585Aa","2022-10-10 14:02:11.131","2022-10-10 14:02:11.132"
1188,1,27,"0xC88563855A54b4A735137Cc7d6926B28fA778C0e","2022-10-10 17:38:43.496","2022-10-10 17:38:43.496"
1189,1,68,"0xC88563855A54b4A735137Cc7d6926B28fA778C0e","2022-10-10 17:39:09.829","2022-10-10 17:39:09.83"
1190,-1,82,"0xC88563855A54b4A735137Cc7d6926B28fA778C0e","2022-10-10 17:39:43.039","2022-10-10 17:39:43.04"
1191,1,88,"0x8D36BaC540C57dBd009eA9d9D8CDF9443A83E3f6","2022-10-10 20:52:44.592","2022-10-10 20:52:44.593"
1192,-1,79,"0x8D36BaC540C57dBd009eA9d9D8CDF9443A83E3f6","2022-10-10 21:03:43.028","2022-10-10 21:03:43.029"
1193,-1,66,"0x8D36BaC540C57dBd009eA9d9D8CDF9443A83E3f6","2022-10-10 21:04:21.912","2022-10-10 21:04:21.913"
1194,-1,69,"0x8D36BaC540C57dBd009eA9d9D8CDF9443A83E3f6","2022-10-10 21:05:25.156","2022-10-10 21:05:25.156"
1195,-1,46,"0x8D36BaC540C57dBd009eA9d9D8CDF9443A83E3f6","2022-10-10 21:05:32.728","2022-10-10 21:05:32.729"
1196,-1,67,"0x8D36BaC540C57dBd009eA9d9D8CDF9443A83E3f6","2022-10-10 21:11:03.972","2022-10-10 21:11:03.972"
1197,-1,36,"0x8D36BaC540C57dBd009eA9d9D8CDF9443A83E3f6","2022-10-10 21:11:10.406","2022-10-10 21:11:10.406"
1198,-1,53,"0x8D36BaC540C57dBd009eA9d9D8CDF9443A83E3f6","2022-10-10 21:11:27.384","2022-10-10 21:11:27.384"
1199,-1,50,"0x8D36BaC540C57dBd009eA9d9D8CDF9443A83E3f6","2022-10-10 21:12:04.563","2022-10-10 21:12:04.563"
1200,1,63,"0x8D36BaC540C57dBd009eA9d9D8CDF9443A83E3f6","2022-10-10 21:12:51.316","2022-10-10 21:12:51.316"
1201,1,89,"0x87772fF7C65B5c93Be52e3504670c6407271F829","2022-10-11 13:21:21.714","2022-10-11 13:21:21.714"
1202,-1,88,"0x9e0e9D25a5ED9bc773f91691f0b45599255257B1","2022-10-11 18:41:08.772","2022-10-11 18:41:08.772"
1203,1,89,"0x9e0e9D25a5ED9bc773f91691f0b45599255257B1","2022-10-11 18:41:12.654","2022-10-11 18:41:12.654"
1204,1,86,"0x9e0e9D25a5ED9bc773f91691f0b45599255257B1","2022-10-11 18:41:42.984","2022-10-11 18:41:42.984"
1205,1,85,"0x9e0e9D25a5ED9bc773f91691f0b45599255257B1","2022-10-11 18:42:03.158","2022-10-11 18:42:03.159"
1206,1,84,"0x9e0e9D25a5ED9bc773f91691f0b45599255257B1","2022-10-11 18:42:10.405","2022-10-11 18:42:10.406"
1207,1,83,"0x9e0e9D25a5ED9bc773f91691f0b45599255257B1","2022-10-11 18:42:14.505","2022-10-11 18:42:14.505"
1208,1,89,"0xe88020cb9b70eaf8dC524d2DBd68A1aDdf278eE8","2022-10-11 19:14:44.358","2022-10-11 19:14:44.358"
1209,-1,88,"0xe88020cb9b70eaf8dC524d2DBd68A1aDdf278eE8","2022-10-11 19:16:34.289","2022-10-11 19:16:41.901"
1210,1,87,"0xe88020cb9b70eaf8dC524d2DBd68A1aDdf278eE8","2022-10-11 19:17:07.898","2022-10-11 19:17:07.898"
1211,1,86,"0xe88020cb9b70eaf8dC524d2DBd68A1aDdf278eE8","2022-10-11 19:17:18.583","2022-10-11 19:17:18.584"
1212,1,85,"0xe88020cb9b70eaf8dC524d2DBd68A1aDdf278eE8","2022-10-11 19:17:25.764","2022-10-11 19:17:25.765"
1213,1,84,"0xe88020cb9b70eaf8dC524d2DBd68A1aDdf278eE8","2022-10-11 19:17:33.081","2022-10-11 19:17:33.082"
1214,1,83,"0xe88020cb9b70eaf8dC524d2DBd68A1aDdf278eE8","2022-10-11 19:17:34.731","2022-10-11 19:17:34.732"
1215,-1,79,"0xe88020cb9b70eaf8dC524d2DBd68A1aDdf278eE8","2022-10-11 19:17:59.952","2022-10-11 19:17:59.953"
